Country,Month,Year,Events,Fatalities
Argentina,January,2018,1,0
Argentina,February,2018,1,1
Argentina,March,2018,7,2
Argentina,April,2018,6,2
Argentina,May,2018,3,0
Argentina,June,2018,9,2
Argentina,July,2018,4,0
Argentina,August,2018,3,0
Argentina,September,2018,8,4
Argentina,October,2018,13,3
Argentina,November,2018,4,2
Argentina,December,2018,11,0
Argentina,January,2019,9,5
Argentina,February,2019,6,1
Argentina,March,2019,1,0
Argentina,April,2019,2,1
Argentina,May,2019,7,7
Argentina,June,2019,3,1
Argentina,July,2019,2,1
Argentina,August,2019,8,5
Argentina,September,2019,1,0
Argentina,October,2019,4,0
Argentina,November,2019,1,1
Argentina,December,2019,6,1
Argentina,January,2020,7,1
Argentina,February,2020,1,1
Argentina,March,2020,0,0
Argentina,April,2020,10,2
Argentina,May,2020,9,1
Argentina,June,2020,7,1
Argentina,July,2020,7,1
Argentina,August,2020,4,1
Argentina,September,2020,5,1
Argentina,October,2020,5,4
Argentina,November,2020,3,0
Argentina,December,2020,2,1
Argentina,January,2021,2,1
Argentina,February,2021,3,1
Argentina,March,2021,4,0
Argentina,April,2021,5,0
Argentina,May,2021,2,0
Argentina,June,2021,5,1
Argentina,July,2021,4,0
Argentina,August,2021,9,2
Argentina,September,2021,7,1
Argentina,October,2021,5,0
Argentina,November,2021,13,6
Argentina,December,2021,5,2
Argentina,January,2022,3,1
Argentina,February,2022,0,0
Argentina,March,2022,4,0
Argentina,April,2022,2,0
Argentina,May,2022,3,0
Argentina,June,2022,5,2
Argentina,July,2022,5,2
Argentina,August,2022,2,0
Argentina,September,2022,2,0
Argentina,October,2022,4,1
Argentina,November,2022,6,3
Argentina,December,2022,5,2
Argentina,January,2023,8,3
Argentina,February,2023,5,1
Argentina,March,2023,4,0
Argentina,April,2023,7,2
Argentina,May,2023,6,0
Argentina,June,2023,1,0
Argentina,July,2023,1,0
Argentina,August,2023,1,0
Argentina,September,2023,2,0
Argentina,October,2023,0,0
Argentina,November,2023,0,0
Argentina,December,2023,0,0
Argentina,January,2024,0,0
Argentina,February,2024,0,0
Argentina,March,2024,0,0
Argentina,April,2024,1,0
Argentina,May,2024,1,3
Argentina,June,2024,0,0
Argentina,July,2024,0,0
Argentina,August,2024,0,0
Argentina,September,2024,1,0
Argentina,October,2024,5,0
Argentina,November,2024,0,0
Argentina,December,2024,0,0
Argentina,January,2025,0,0
Argentina,February,2025,1,1
Argentina,March,2025,0,0
Argentina,April,2025,1,0
Argentina,May,2025,0,0
Argentina,June,2025,0,0
Argentina,July,2025,2,1
Argentina,August,2025,0,0
Argentina,September,2025,2,2
Argentina,October,2025,3,0
Argentina,November,2025,0,0
Argentina,December,2025,1,1
Argentina,January,2026,0,0
Argentina,February,2026,0,0
Argentina,March,2026,0,0
Argentina,April,2026,0,0
