country_name,Fatalities,pct_coverage,Is student attendance recorded?,Can individual students who received school feeding be linked to attendance?,Attendance_Impact
Chad,2336.0,,Yes,Yes,Reported Improvement
Mozambique,3285.0,,Yes,Yes,No Mention
Niger,4376.0,8.31290340423584,Yes,Yes,Reported Improvement
Haiti,6087.0,,,,No Data
Cameroon,7437.0,,Yes,,No Data
Central African Republic,9803.0,,Yes,Yes,No Data
Burkina Faso,10836.0,53.0,Yes,Yes,No Mention
Burundi,11172.0,,Yes,Yes,No Mention
Mali,11553.0,12.10768699645996,Yes,Yes,Reported Improvement
Somalia,15307.0,,Yes,Yes,No Mention
Ethiopia,19460.0,,,Yes,Reported Improvement
South Sudan,22995.0,,Yes,Yes,No Data
Sudan,44546.0,,Yes,Yes,No Data
Syrian Arab Republic,47720.0,,Yes,Yes,No Data
State of Palestine,54947.0,,,,No Data
Nigeria,62163.0,16.10440635681152,Yes,Yes,No Data
